Name,Date,Location,RoundType,Type,Description
Spring Arrow Open,2026-03-14,Stockholm Archery Hall,WA 18m,Internal,Club indoor season opener
Nordic Indoor Cup,2026-01-25,Uppsala Arena,WA 18m,Regional,Regional ranking event
Junior Skills Shoot,2026-04-11,Vasteras Youth Range,720 Round,Internal,Junior development competition
Lakeview Outdoor Classic,2026-05-23,Orebro Field Range,720 Round,External,Invitational outdoor event
Midsummer Match,2026-06-20,Linkoping Sports Field,1440 Round,National,Full day national level tournament
Evening Practice Challenge,2026-02-12,Gothenburg Indoor Center,WA 18m,,Friendly scored practice night
Autumn Target Meet,2026-09-05,Malmo Archery Park,720 Round,Regional,Regional outdoor finale
Winter Championship Qualifier,2026-11-21,Sundsvall Arena,WA 18m,National,Qualification event for winter championship
Club Championship Finals,2026-08-16,Stockholm Archery Hall,720 Round,Internal,Season club championship final
Open Range Festival,2026-07-04,Helsingborg Coastal Range,Field Round,External,
